country,description,designation,points,price,province,region_1,region_2,variety,winery
France,"
                      Made from a rare cross between Tannat and Cabernet Sauvignon created in 1955, this is a simple, fruity wine with soft tannins and fine, juicy acidity. Red fruit and a crisp texture mark the palate. It's ready to drink.                      ",,88,15.0,France Other,Vin de France,,Ekigaïna,Lionel Osmin & Cie
US,"
                      This bottling, which includes 14% Merlot and 6% Petite Sirah, shows tightly wound blackberry and plum fruit with touches of pepper and balsamic on the nose. The palate offers reduced strawberry flavors with a pinch of white pepper.                      ",,88,54.0,California,California,California Other,Cabernet Sauvignon,Lorimar
France,"
                      Hints of garrigue and bramble lend savory freshness to ripe, almost ruddy black cherry and preserved plum flavors. It's a plush, weighty wine held upright by fresh acidity and very ripe but firm, persistent tannins. Enjoy now–2030.                      ",Privilège,91,50.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Château Maucoil
France,"
                      Crisp lemon flavors and white-blossom notes lend an invigorating feel to this fresh, fruity white wine. It's light on its feet but silky and expansive on the palate. The finish is moderately long and just a hint warming.                      ",Abeille-Fabre,91,46.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Château Mont-Redon
Israel,"
                      A nose of cassis, dark plum and juniper paves the way for black cherry, black currant, anise, violet and orange zest flavors in this wine. It's full bodied, with smooth tannins that recede into a bright finish.                      ",Hosen,91,30.0,Galilee,,,Red Blends,Chateau Remo
France,"
                      Rich with dusty tannins and now-mature fruits, this wine is ripe, full bodied and concentrated. Black-plum flavors are up front along with the smoky flavors, juicy black-currant aftertaste and some further aging potential. Drink now or keep until 2020.                      ",Cuvée Renaissance,91,34.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Valade
Argentina,"
                      Ripe aromas of blackberry drift towards raisin and animal fur. This is immensely full in body, with ripping tartaric acidity. Flavors of coconut and vanilla are oak based, while blackberry fruit finishes bold, but with a reverb of choppy tartaric acidity. Drink through 2022.                      ",Winemaker's Selection Reserva,91,42.0,Mendoza Province,Mendoza,,Malbec,Clos d'Argentine
France,"
                      Lip-smacking black-cherry and plum flavors are juicy and ripe but nuanced by fragrant layers of sun-dried thyme, sage and fennel. It's full bodied and voluminous on the palate but nicely integrated in alcohol and acidity. The finish is marked by ripe, finely edged tannins.                      ",Les Reinages,91,35.0,Rhône Valley,Gigondas,,Grenache-Syrah,Delas Frères
US,"
                      Extremely fresh and pungent aromas of smashed strawberries are enhanced by white pepper dust, whole green peppercorns, wet tobacco leaf and the smell of a dewy morning amidst pine trees and chaparral scrub on this wine by Chad Melville. The palate is simply stunning with juniper and pine-needle elements that slip into rich yet tart cherry and baked raspberry, proving extremely dynamic and lovely all around.                      ",Block M,97,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Melville
Italy,"
                      Enticingly fragrant, this stunning red opens with delicate but alluring scents of wild berry, Mediterranean brush, rose, crushed rock and a whiff of exotic spice. It's full bodied but loaded with finesse, delivering creamy red cherry, raspberry compote, star anise and white pepper. Taut, refined tannins and lively acidity provide support and balance, while a savory mineral note lingers on the close. Drink 2021–2036.                      ",Contrada G,97,79.0,Sicily & Sardinia,Terre Siciliane,,Nerello Mascalese,Franchetti–Passopisciaro
